"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,5.0,W Jaffer,I Sharma,JH Kallis,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,6.0,W Jaffer,I Sharma,JH Kallis,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,1.0,JH Kallis,AB Agarkar,W Jaffer,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,2.0,W Jaffer,AB Agarkar,JH Kallis,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,3.0,JH Kallis,AB Agarkar,W Jaffer,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,4.0,JH Kallis,AB Agarkar,W Jaffer,6.0,0.0,6.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,5.0,JH Kallis,AB Agarkar,W Jaffer,0.0,0.0,0.0,None,1,JH Kallis,caught,M Kartik"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,4.0,6.0,CL White,AB Agarkar,W Jaffer,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,5.0,1.0,W Jaffer,AB Dinda,CL White,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,5.0,2.0,W Jaffer,AB Dinda,CL White,0.0,0.0,0.0,None,1,W Jaffer,caught,RT Ponting"
